Vehicle ID,Fuel ID,Fuel Configuration ID,Manufacturer ID,Model,Model Year,Alternative Fuel Economy City,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Combined,Manufacturer,Category,Fuel Code,Fuel,Drivetrain
11907,45,9.0,215,K15 Silverado 4WD,2018,,,16.0,,Chevrolet,Pickup,HYBR,Hybrid Electric,
11905,45,9.0,215,Malibu Hybrid,2018,,,49.0,,Chevrolet,Sedan/Wagon,HYBR,Hybrid Electric,
12022,11,5.0,215,Silverado 2500 HD,2018,,,,,Chevrolet,Pickup,E85_GSLN,Ethanol (E85),
12005,35,1.0,215,Silverado 2500 HD 2WD/4WD,2018,,,,,Chevrolet,Pickup,BD,Biodiesel (B20),
12015,3,1.0,215,Silverado 2500 HD 2WD/4WD,2018,,,,,Chevrolet,Pickup,CNG,CNG - Compressed Natural Gas,
12029,55,1.0,215,Silverado 2500 HD 2WD/4WD,2018,,,,,Chevrolet,Pickup,LPG,Propane,
11857,11,5.0,215,Silverado C15 2WD,2018,12.0,,16.0,,Chevrolet,Pickup,E85_GSLN,Ethanol (E85),
11855,11,5.0,215,Silverado C15 2WD,2018,12.0,,18.0,,Chevrolet,Pickup,E85_GSLN,Ethanol (E85),
11859,11,5.0,215,Silverado K15 4WD,2018,11.0,,16.0,,Chevrolet,Pickup,E85_GSLN,Ethanol (E85),
11858,11,5.0,215,Silverado K15 4WD,2018,12.0,,17.0,,Chevrolet,Pickup,E85_GSLN,Ethanol (E85),
11860,11,5.0,215,Suburban C1500 2WD,2018,12.0,,16.0,,Chevrolet,SUV,E85_GSLN,Ethanol (E85),
11861,11,5.0,215,Suburban K1500 4WD,2018,11.0,,15.0,,Chevrolet,SUV,E85_GSLN,Ethanol (E85),
11862,11,5.0,215,Tahoe C1500 2WD,2018,12.0,,16.0,,Chevrolet,SUV,E85_GSLN,Ethanol (E85),
11863,11,5.0,215,Tahoe K1500 4WD,2018,11.0,,16.0,,Chevrolet,SUV,E85_GSLN,Ethanol (E85),
11943,57,9.0,215,Volt,2018,106.0,,43.0,,Chevrolet,Sedan/Wagon,PHEV,Plug-in Hybrid Electric,
11864,11,5.0,223,300,2018,14.0,,19.0,,Chrysler,Sedan/Wagon,E85_GSLN,Ethanol (E85),
11865,11,5.0,223,300 AWD,2018,13.0,,18.0,,Chrysler,Sedan/Wagon,E85_GSLN,Ethanol (E85),
11944,57,9.0,223,Pacifica PHEV,2018,84.0,,32.0,,Chrysler,Van,PHEV,Plug-in Hybrid Electric,
11867,11,5.0,225,Charger,2018,14.0,,19.0,,Dodge,Sedan/Wagon,E85_GSLN,Ethanol (E85),
11868,11,5.0,225,Charger AWD,2018,13.0,,18.0,,Dodge,Sedan/Wagon,E85_GSLN,Ethanol (E85),
11866,11,5.0,225,Grand Caravan,2018,12.0,,17.0,,Dodge,Van,E85_GSLN,Ethanol (E85),
11869,11,5.0,225,Journey,2018,12.0,,17.0,,Dodge,SUV,E85_GSLN,Ethanol (E85),
11990,41,1.0,379,500e,2018,121.0,,,,Fiat,Sedan/Wagon,ELEC,Electric,
11908,45,9.0,219,C-MAX Hybrid FWD,2018,,,42.0,,Ford,Sedan/Wagon,HYBR,Hybrid Electric,
11876,11,5.0,219,Escape FWD FFV,2018,15.0,,21.0,,Ford,SUV,E85_GSLN,Ethanol (E85),
11882,11,5.0,219,Explorer AWD FFV,2018,12.0,,16.0,,Ford,SUV,E85_GSLN,Ethanol (E85),
11957,55,1.0,219,F-150,2018,,,,,Ford,Pickup,LPG,Propane,
11854,3,1.0,219,F-150,2018,,,,,Ford,Pickup,CNG,CNG - Compressed Natural Gas,
11996,57,9.0,219,F-150,2018,,,,,Ford,Pickup,PHEV,Plug-in Hybrid Electric,
12008,35,1.0,219,F-150 2WD,2018,,,22.0,,Ford,Pickup,BD,Biodiesel (B20),
11870,11,5.0,219,F-150 2WD FFV,2018,14.0,,20.0,,Ford,Pickup,E85_GSLN,Ethanol (E85),
11877,11,5.0,219,F-150 2WD FFV,2018,12.0,,17.0,,Ford,Pickup,E85_GSLN,Ethanol (E85),
12009,35,1.0,219,F-150 4WD,2018,,,20.0,,Ford,Pickup,BD,Biodiesel (B20),
11871,11,5.0,219,F-150 4WD FFV,2018,13.0,,18.0,,Ford,Pickup,E85_GSLN,Ethanol (E85),
11878,11,5.0,219,F-150 4WD FFV,2018,12.0,,16.0,,Ford,Pickup,E85_GSLN,Ethanol (E85),
12010,35,1.0,219,F-150 4WD XL/XLT,2018,,,21.0,,Ford,Pickup,BD,Biodiesel (B20),
11842,41,1.0,219,Focus Electric FWD,2018,118.0,,,,Ford,Sedan/Wagon,ELEC,Electric,
